"Plot13"
"Time (sec)","Linear Velocity4 (inch/sec)"
0,3.21528163659582
0.04,3.04929752224312
0.08,2.90986833168287
0.12,2.79601669905797
0.16,2.70080912493792
0.2,2.61374497712978
0.24,2.52329706801071
0.28,2.41890287264844
0.32,2.29213917211411
0.36,2.13715556573226
0.4,1.95059879520719
0.44,1.73126824264737
0.48,1.47968109486471
0.52,1.19765248033839
0.56,0.887938824911211
0.6,0.553957221550705
0.64,0.199575527428166
0.68,-0.171039089306117
0.72,-0.553526452310257
0.76,-0.943406197959827
0.8,-1.33612634637677
0.84,-1.72709451104773
0.88,-2.11169676164021
0.92,-2.48530788464621
0.96,-2.84329617746161
1,-3.18102603476152
1.04,-3.49386257099686
1.08,-3.77718455735339
1.12,-4.02641521283215
1.16,-4.23708484207891
1.2,-4.40494427645735
1.24,-4.52615148283143
1.28,-4.5975512028712
1.32,-4.6170521638635
1.36,-4.58407103088873
1.4,-4.49995641637547
1.44,-4.36824758028431
1.48,-4.19460225739617
1.52,-3.98629283477416
1.56,-3.75132466055249
1.6,-3.49740220796012
1.64,-3.23104487727689
1.68,-2.95707820942746
1.72,-2.67855439354721
1.76,-2.39700144742061
1.8,-2.11283572283981
1.84,-1.82579265153731
1.88,-1.53528940621452
1.92,-1.24068909272534
1.96,-0.941471562022686
2,-0.637331368964365
2.04,-0.328226038373696
2.08,-0.0143945335664917
2.12,0.303638998215638
2.16,0.625065462080386
2.2,0.948787502202884
2.24,1.27340724227248
2.28,1.59720106148376
2.32,1.91807843312638
2.36,2.23352306456635
2.4,2.54051657906216
2.44,2.83544858877489
2.48,3.11402327524297
2.52,3.37118271423408
2.56,3.60108209994963
2.6,3.79717143596259
2.64,3.95245869835684
2.68,4.06004143686628
2.72,4.11397901970417
2.76,4.11051030079583
2.8,4.04947913456824
2.84,3.93562199285511
2.88,3.77917532991874
2.92,3.59523081350148
2.96,3.40156371559845
3,3.21528163643882
3.04,3.04929752224311
3.08,2.90986833168287
3.12,2.79601669905797
3.16,2.70080912493791
3.2,2.61374497712978
3.24,2.5232970680107
3.28,2.41890287264844
3.32,2.2921391721141
3.36,2.13715556573226
3.4,1.95059879520719
3.44,1.73126824264736
3.48,1.4796810948647
3.52,1.19765248033838
3.56,0.8879388249112
3.6,0.55395722155069
3.64,0.199575527428152
3.68,-0.171039089306133
3.72,-0.553526452310274
3.76,-0.943406197959844
3.8,-1.33612634637679
3.84,-1.72709451104774
3.88,-2.11169676164022
3.92,-2.48530788464621
3.96,-2.84329617746161
4,-3.18102603476152
4.04,-3.49386257099687
4.08,-3.77718455735339
4.12,-4.02641521283215
4.16,-4.23708484207891
4.2,-4.40494427645736
4.24,-4.52615148283143
4.28,-4.59755120287121
4.32,-4.6170521638635
4.36,-4.58407103088872
4.4,-4.49995641637546
4.44,-4.36824758028431
4.48,-4.19460225739617
4.52,-3.98629283477415
4.56,-3.75132466055248
4.6,-3.49740220796011
4.64,-3.23104487727687
4.68,-2.95707820942745
4.72,-2.67855439354719
4.76,-2.39700144742059
4.8,-2.11283572283979
4.84,-1.82579265153731
4.88,-1.53528940621451
4.92,-1.2406890927253
4.96,-0.94147156202266
5,-0.637331368964348
5.04,-0.328226038373668
5.08,-0.0143945335664644
5.12,0.303638998215667
5.16,0.625065462080405
5.2,0.948787502202912
5.24,1.27340724227251
5.28,1.59720106148378
5.32,1.91807843312639
5.36,2.23352306456637
5.4,2.54051657906219
5.44,2.83544858877491
5.48,3.11402327524298
5.52,3.3711827142341
5.56,3.60108209994965
5.6,3.79717143596261
5.64,3.95245869835684
5.68,4.06004143686629
5.72,4.11397901970418
5.76,4.11051030079583
5.8,4.04947913456823
5.84,3.9356219928551
5.88,3.77917532991873
5.92,3.59523081350147
5.96,3.40156371559844
6,3.21528163643882
